,均值,标准差,最小值,中位数,最大值
日总行驶里程,34.04479702959887,41.35486645681914,1.1111111100000002,23.0,1400.0
日行驶总时长,1.2312992605073483,0.9306503522923578,0.033333333333299464,1.0000000000000018,16.5
日停车总时长,2.92807731910512,3.9949339710030762,0.0,1.5,23.85
日充电总时长,19.84062342038753,4.256048403441103,0.0,21.26666666666663,23.9333333333334
日出行次数,4.190339792193204,2.372873575899872,1.0,4.0,25.0
